# Histogram of scattering angles (degrees) – Weighted Importance Sampling (OpenMP)
# bins=100, range=[0,180], bin_width=1.80
# Total simulated particles: 10000000
# Total weight (effective particles): 1.000e+07
0.9000 3.834226e-01
2.7000 5.774584e-04
4.5000 8.341418e-04
6.3000 1.014290e-02
8.1000 2.268087e-02
9.9000 2.138861e-02
11.7000 1.834063e-02
13.5000 1.566188e-02
15.3000 1.350850e-02
17.1000 1.121813e-02
18.9000 8.880337e-03
20.7000 7.121504e-03
22.5000 5.769160e-03
24.3000 4.797454e-03
26.1000 3.963732e-03
27.9000 3.293945e-03
29.7000 2.834403e-03
31.5000 2.364671e-03
33.3000 2.056465e-03
35.1000 1.735524e-03
36.9000 1.512663e-03
38.7000 1.301930e-03
40.5000 1.141265e-03
42.3000 9.965902e-04
44.1000 8.757879e-04
45.9000 7.874187e-04
47.7000 6.995053e-04
49.5000 6.233413e-04
51.3000 5.493234e-04
53.1000 5.024527e-04
54.9000 4.508435e-04
56.7000 4.085040e-04
58.5000 3.765553e-04
60.3000 3.408520e-04
62.1000 3.048635e-04
63.9000 2.833398e-04
65.7000 2.640294e-04
67.5000 2.366616e-04
69.3000 2.191638e-04
71.1000 2.001082e-04
72.9000 1.868082e-04
74.7000 1.759759e-04
76.5000 1.598089e-04
78.3000 1.486641e-04
80.1000 1.392087e-04
81.9000 1.330544e-04
83.7000 1.201345e-04
85.5000 1.134073e-04
87.3000 1.062610e-04
89.1000 9.931675e-05
90.9000 9.396106e-05
92.7000 8.614838e-05
94.5000 8.119472e-05
96.3000 7.890141e-05
98.1000 7.295633e-05
99.9000 6.745749e-05
101.7000 6.317926e-05
103.5000 6.003061e-05
105.3000 5.636599e-05
107.1000 5.447620e-05
108.9000 5.057526e-05
110.7000 4.892331e-05
112.5000 4.532460e-05
114.3000 4.284381e-05
116.1000 4.112760e-05
117.9000 3.883539e-05
119.7000 3.710284e-05
121.5000 3.457046e-05
123.3000 3.273426e-05
125.1000 3.128864e-05
126.9000 2.951368e-05
128.7000 2.772693e-05
130.5000 2.625620e-05
132.3000 2.467072e-05
134.1000 2.354567e-05
135.9000 2.235826e-05
137.7000 2.095041e-05
139.5000 1.934545e-05
141.3000 1.847637e-05
143.1000 1.742474e-05
144.9000 1.633417e-05
146.7000 1.502388e-05
148.5000 1.422816e-05
150.3000 1.328522e-05
152.1000 1.225274e-05
153.9000 1.156397e-05
155.7000 1.029160e-05
157.5000 9.612417e-06
159.3000 8.892779e-06
161.1000 7.863119e-06
162.9000 7.212480e-06
164.7000 6.347364e-06
166.5000 5.676794e-06
168.3000 4.702880e-06
170.1000 4.123227e-06
171.9000 3.273479e-06
173.7000 2.553408e-06
175.5000 1.823347e-06
177.3000 1.100013e-06
179.1000 3.839782e-07
