particle_id,final_energy_MeV,scattering_angle_deg,backscattered,dir_x,dir_y,dir_z,total_areal_density
6101,5.1415,2.51,0,0.999040,0.014861,0.041199,1.32e+019
6102,5.1328,5.19,0,0.995894,0.049377,0.075876,1.32e+019
6103,5.1542,3.13,0,0.998504,0.021128,0.050425,1.32e+019
6104,5.1187,3.80,0,0.997796,-0.044511,-0.049217,1.32e+019
6105,5.1088,2.05,0,0.999362,-0.018769,0.030392,1.32e+019
6106,5.1589,1.67,0,0.999575,-0.024362,0.016023,1.32e+019
6107,5.1714,2.96,0,0.998669,0.015789,0.049106,1.32e+019
6108,5.1144,3.85,0,0.997745,0.063872,-0.020646,1.32e+019
6109,5.1197,4.71,0,0.996616,-0.018526,-0.080077,1.32e+019
6110,5.1541,2.66,0,0.998926,0.009673,0.045314,1.32e+019
6111,5.1136,5.83,0,0.994831,-0.083424,0.057901,1.32e+019
6112,5.1638,2.88,0,0.998736,0.045781,0.020752,1.32e+019
6113,5.1409,7.06,0,0.992425,0.116319,0.039533,1.32e+019
6114,5.1293,7.34,0,0.991797,0.041178,0.121011,1.32e+019
6115,5.1288,2.01,0,0.999386,0.034230,0.007508,1.32e+019
6116,5.1853,9.99,0,0.984849,-0.024071,0.171736,1.32e+019
6117,5.1240,9.93,0,0.985010,0.082125,-0.151696,1.32e+019
6118,5.1509,1.85,0,0.999480,-0.015089,0.028496,1.32e+019
6119,5.1354,3.23,0,0.998410,0.050359,-0.025326,1.32e+019
6120,5.1559,4.92,0,0.996321,0.014572,0.084455,1.32e+019
6121,5.1426,3.18,0,0.998462,0.024391,-0.049785,1.32e+019
6122,5.1292,5.15,0,0.995955,-0.075248,0.049100,1.32e+019
6123,5.1199,2.98,0,0.998646,-0.050235,0.013485,1.32e+019
6124,5.1298,1.12,0,0.999809,0.017736,0.008242,1.32e+019
6125,5.1451,3.38,0,0.998259,0.045091,-0.038021,1.32e+019
6126,5.1337,3.68,0,0.997942,-0.058155,-0.026999,1.32e+019
6127,5.1640,4.43,0,0.997013,0.068718,-0.035263,1.32e+019
